wine,year,winery,price,bottle,type_wine,type_wine_details,grapes,num_varieties,type_agriculture,region,region_gi,alcohol_content,tasting_notes,customer_reviews,customer_reviews_number,parker_score,parker_score_num,penin_score,image,url
Rigol Brut Nature,,Caves Rigol,7.8,0.75,Sparkling,Cava,Xarel·lo,Blend,Conventional,Cataluña,DO Cava,11.5,structured well-integrated_carbonic_acid smooth flavoursome crunchy light refreshing elegant fresh highly_aromatic ageing fruit,4.5,65.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/rigolbn_anv800.png,https://www.vinissimus.com/en/cava/rigol-brut-nature/
Codorníu Clásico Semi Sec,,Codorníu,10.6,0.75,Sparkling,Cava,Macabeo,Blend,Conventional,Cataluña,DO Cava,11.5,balanced crunchy fresh well-integrated_carbonic_acid easy_to_drink good_acidity sweet pleasant primary almond_blossom ageing honey toasted_bread,5.0,9.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/codcass_anv800.png,https://www.vinissimus.com/en/cava/codorniu-clasico-semi-sec/
Codorníu Clásico Semi Sec,,Codorníu,10.6,0.75,Sparkling,Cava,Parellada,Blend,Conventional,Cataluña,DO Cava,11.5,balanced crunchy fresh well-integrated_carbonic_acid easy_to_drink good_acidity sweet pleasant primary almond_blossom ageing honey toasted_bread,5.0,9.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/codcass_anv800.png,https://www.vinissimus.com/en/cava/codorniu-clasico-semi-sec/
Codorníu Clásico Semi Sec,,Codorníu,10.6,0.75,Sparkling,Cava,Xarel·lo,Blend,Conventional,Cataluña,DO Cava,11.5,balanced crunchy fresh well-integrated_carbonic_acid easy_to_drink good_acidity sweet pleasant primary almond_blossom ageing honey toasted_bread,5.0,9.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/codcass_anv800.png,https://www.vinissimus.com/en/cava/codorniu-clasico-semi-sec/
El Coto Crianza 2019,2019,El Coto de Rioja,9.8,0.75,Red,Red,Tempranillo,Varietal,Conventional,La Rioja,Rioja,13.5,silky spicy persistent silky_tannins red_fruit vanilla ageing,4.6,141.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/cotoc19_anv800.png,https://www.vinissimus.com/en/wine/el-coto-crianza/
Viña Tondonia Reserva 2010,2010,Bodegas R. López de Heredia ,37.8,0.75,Red,Red,Tempranillo,Blend,Conventional,La Rioja,Rioja,13.0,dry fine_tannins delicate fresh persistent fine cocoa polished_fine_furniture sweet_spices,4.5,179.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/vtonr10_anv800_1645639158.png,https://www.vinissimus.com/en/wine/vina-tondonia-reserva/
Viña Tondonia Reserva 2010,2010,Bodegas R. López de Heredia ,37.8,0.75,Red,Red,Garnacha,Blend,Conventional,La Rioja,Rioja,13.0,dry fine_tannins delicate fresh persistent fine cocoa polished_fine_furniture sweet_spices,4.5,179.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/vtonr10_anv800_1645639158.png,https://www.vinissimus.com/en/wine/vina-tondonia-reserva/
Viña Tondonia Reserva 2010,2010,Bodegas R. López de Heredia ,37.8,0.75,Red,Red,Graciano,Blend,Conventional,La Rioja,Rioja,13.0,dry fine_tannins delicate fresh persistent fine cocoa polished_fine_furniture sweet_spices,4.5,179.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/vtonr10_anv800_1645639158.png,https://www.vinissimus.com/en/wine/vina-tondonia-reserva/
Viña Tondonia Reserva 2010,2010,Bodegas R. López de Heredia ,37.8,0.75,Red,Red,Mazuelo,Blend,Conventional,La Rioja,Rioja,13.0,dry fine_tannins delicate fresh persistent fine cocoa polished_fine_furniture sweet_spices,4.5,179.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/vtonr10_anv800_1645639158.png,https://www.vinissimus.com/en/wine/vina-tondonia-reserva/
Viña Ardanza Reserva 2016,2016,La Rioja Alta,27.8,0.75,Red,Red,Tempranillo,Blend,Conventional,La Rioja,Rioja,14.5,fresh_on_entry flavoursome elegant_tannins balanced cherries cassis black_pepper tobacco nutmeg toffee vanilla,4.6,212.0,94+,94.5,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/vardr15_anv800_1635411693.png,https://www.vinissimus.com/en/wine/vina-ardanza-reserva/
Viña Ardanza Reserva 2016,2016,La Rioja Alta,27.8,0.75,Red,Red,Garnacha,Blend,Conventional,La Rioja,Rioja,14.5,fresh_on_entry flavoursome elegant_tannins balanced cherries cassis black_pepper tobacco nutmeg toffee vanilla,4.6,212.0,94+,94.5,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/vardr15_anv800_1635411693.png,https://www.vinissimus.com/en/wine/vina-ardanza-reserva/
Pago de Carraovejas 2020,2020,Bodega Pago de Carraovejas,36.4,0.75,Red,Red,Tempranillo,Blend,Conventional,Castilla y León,Ribera del Duero,15.0,elegant structured profound deep ripe_black_fruit lactic balsamic sweet_spices,4.8,120.0,93,93.0,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/pcarc20_anv800_1666972024.png,https://www.vinissimus.com/en/wine/pago-de-carraovejas/
Pago de Carraovejas 2020,2020,Bodega Pago de Carraovejas,36.4,0.75,Red,Red,Cabernet Sauvignon,Blend,Conventional,Castilla y León,Ribera del Duero,15.0,elegant structured profound deep ripe_black_fruit lactic balsamic sweet_spices,4.8,120.0,93,93.0,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/pcarc20_anv800_1666972024.png,https://www.vinissimus.com/en/wine/pago-de-carraovejas/
Pago de Carraovejas 2020,2020,Bodega Pago de Carraovejas,36.4,0.75,Red,Red,Merlot,Blend,Conventional,Castilla y León,Ribera del Duero,15.0,elegant structured profound deep ripe_black_fruit lactic balsamic sweet_spices,4.8,120.0,93,93.0,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/pcarc20_anv800_1666972024.png,https://www.vinissimus.com/en/wine/pago-de-carraovejas/
Enate Rosado 2022,2022,Enate,14.2,0.75,Rosé,Rosé,Cabernet Sauvignon,Varietal,Conventional,Aragón,Somontano,14.0,light fresh pleasant subtle crunchy bitter highly_aromatic fruit fresh_fruit herbaceous,4.4,43.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/enaro22_anv800.png,https://www.vinissimus.com/en/wine/enate-rosado/
K-Naia 2022,2022,Bodegas Naia,11.4,0.75,White,White,Verdejo,Blend,Conventional,Castilla y León,Rueda,13.5,structured fresh good_acidity well-integrated_carbonic_acid with_personality floral crunchy frank clean floral_scents white_flowers fruit fresh_fruit,4.4,57.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/knaia21_anv800_1650978901.png,https://www.vinissimus.com/en/wine/k-naia/
K-Naia 2022,2022,Bodegas Naia,11.4,0.75,White,White,Sauvignon Blanc,Blend,Conventional,Castilla y León,Rueda,13.5,structured fresh good_acidity well-integrated_carbonic_acid with_personality floral crunchy frank clean floral_scents white_flowers fruit fresh_fruit,4.4,57.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/knaia21_anv800_1650978901.png,https://www.vinissimus.com/en/wine/k-naia/
La Montesa 2019,2019,Bodegas Palacios Remondo,15.6,0.75,Red,Red,Garnacha,Varietal,Organic,La Rioja,Rioja,14.5,balanced powerful fresh fruit-forward ripe_tannins good_acidity long_finish persistent expressive highly_aromatic fruit ripe_fruit balsamic mineral floral_scents sweet_spices,4.3,293.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/hrem19_anv800_1664195923.png,https://www.vinissimus.com/en/wine/la-montesa/
